Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Month,Intake Day of the Week,Intake Year,Outcome Month,Outcome Day of the Week,Outcome Year
A015434,HERSHEY,Dog,Spayed Female,2,0,LABRADOR RETR,CHOCOLATE,L17-012063,08/18/2017,Owner Surrendered,Over the Counter,Adoption,Website Information,09/03/2017,,,,,,
A015434,HERSHEY,Dog,Spayed Female,2,0,LABRADOR RETR,CHOCOLATE,L17-012075,09/06/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,09/06/2017,,,,,,
A015466,MAIZEY,Dog,Spayed Female,0,2.25,PIT BULL,BR BRINDLE,005006051,12/27/2016,Stray,Over the Counter,Return to Owner,Walk-In,12/27/2016,,,,,,
A015466,MAIZEY,Dog,Spayed Female,0,2.25,PIT BULL,BR BRINDLE,005006051,12/27/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,01/13/2017,,,,,,
A015497,RUSTY,Dog,Neutered Male,7,0,YORKSHIRE TERR,SILVER,L18-011091,10/14/2018,Euthanasia Request,Over the Counter,Euthanized,Age-Related,10/14/2018,,,,,,
A015497,RUSTY,Dog,Neutered Male,7,0,YORKSHIRE TERR,SILVER,L18-011091,03/03/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/02/2018,,,,,,
A015809,AUPA,Dog,Male,3,0,LABRADOR RETR,BLACK,L13-003836,03/09/2019,Confiscated,Animal Cruelty,Euthanized,Condition Severe,03/13/2019,,,,,,
A016162,JACK,Dog,Neutered Male,0,0,AMER ESKIMO,WHITE,941000013753512,06/25/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,07/06/2016,,,,,,
A016620,HAM BONE,Dog,Neutered Male,3,0,BEAGLE,TRICOLOR,009290051,11/08/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/21/2018,,,,,,
A016620,HAM BONE,Dog,Neutered Male,3,0,BEAGLE,TRICOLOR,009290051,06/26/2020,Transfer,Transfer,Euthanized,Illness Severe,07/17/2020,,,,,,
A016721,OLIVER,Dog,Neutered Male,11,0,BULL TERRIER,BLACK,981020031367936,07/26/2019,Owner Surrendered,Over the Counter,Euthanized,Condition Severe,08/11/2019,,,,,,
A016832,BOSS,Dog,Neutered Male,1,0,SIBERIAN HUSKY,RED,L16-009526,06/05/2016,Stray,Over the Counter,Return to Owner,Walk-In,06/08/2016,,,,,,
A017693,SASHA,Cat,Spayed Female,1,0,DOMESTIC SH,BRN TABBY,009305790,12/10/2015,Stray,Over the Counter,Return to Owner,Walk-In,12/10/2015,,,,,,
A017693,SASHA,Cat,Spayed Female,1,0,DOMESTIC SH,BRN TABBY,009305790,12/10/2015,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/19/2015,,,,,,
A017704,COCO,Dog,Spayed Female,2,0,CHIHUAHUA SH,BLACK,008273032,12/28/2016,Euthanasia Request,Over the Counter,Euthanized,Illness Severe,12/28/2016,,,,,,
A018477,RICKIE,Cat,Neutered Male,8,,DOMESTIC MH,WHITE,093890026,07/23/2020,Owner Surrendered,OTC APPT,Transfer,,08/04/2020,,,,,,
A019004,ACE,Dog,Male,11,0,PIT BULL,TAN,05304,05/05/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,05/15/2018,,,,,,
A019115,SEBASTIAN,Cat,Neutered Male,0,2.5,DOMESTIC SH,BLACK,981020009291424,05/24/2016,Owner Surrendered,,Euthanized,Time and Space,07/18/2016,,,,,,
A019256,LAUREL,Cat,Neutered Male,0,0.75,DOMESTIC SH,BRN TABBY,981020009710529,07/21/2016,Stray,Over the Counter,Euthanized,Create Space,10/08/2016,,,,,,
A019513,MACEO,Dog,Neutered Male,2,0,GERM SHEPHERD,BLACK,981020009290307,11/22/2017,Euthanasia Request,Over the Counter,Euthanized,Condition Severe,11/22/2017,,,,,,
A019531,STORMY,Cat,Neutered Male,0,4,DOMESTIC SH,GRAY TABBY,L18-011667,06/22/2018,Owner Surrendered,Over the Counter,Adoption,,07/29/2018,,,,,,
A019726,HITCH,Cat,Neutered Male,0,4,DOMESTIC SH,ORG TABBY,981020009241112,04/16/2016,Stray,Animal Control,Adoption,Referral,04/28/2016,,,,,,
A019960,NACHO,Cat,Neutered Male,0,1.2,DOMESTIC SH,ORG TABBY,981020009827524,10/26/2015,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/05/2015,,,,,,
A019960,NACHO,Cat,Neutered Male,0,1.2,DOMESTIC SH,ORG TABBY,981020009827524,11/23/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/11/2016,,,,,,
A020029,COLBY,Dog,Neutered Male,4,0,LABRADOR RETR,BLACK,,03/24/2019,Stray,Animal Control,Return to Owner,Website Information,03/25/2019,,,,,,
A020703,ACE,Dog,Neutered Male,3,0,PIT BULL,WHITE,981020009711454,07/03/2017,Stray,Animal Control,Euthanized,Behavior Severe,07/14/2017,,,,,,
A021550,DASH,Dog,Female,4,0,PIT BULL,BLACK,38550,01/13/2017,Confiscated,Animal Cruelty,Euthanized,Behavior Severe,01/20/2017,,,,,,
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,04/22/2019,Confiscated,Animal Cruelty,Return to Owner,,04/26/2019,,,,,,
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,07/09/2019,Confiscated,Animal Cruelty,Return to Owner,,07/20/2019,,,,,,
A021628,SHOTGUN,Dog,Neutered Male,0,5,LABRADOR RETR,CHOCOLATE,981020009902434,04/22/2019,Confiscated,Animal Cruelty,Return to Owner,,04/26/2019,,,,,,
A021728,SPIKENARD,Cat,Neutered Male,0,0.8,DOMESTIC SH,BRN TABBY,L17-010444,12/12/2016,Owner Surrendered,Over the Counter,Adoption,Website Information,01/06/2017,,,,,,
A021837,ROXY,Dog,Spayed Female,8,0,SHIBA INU,RED,091555585,02/22/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,02/22/2019,,,,,,
A021890,HANNA,Cat,Spayed Female,0,10,DOMESTIC MH,GRAY,981020009897561,11/27/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/14/2016,,,,,,
A021890,HANNA,Cat,Spayed Female,0,10,DOMESTIC MH,GRAY,981020009897561,05/15/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,06/26/2019,,,,,,
A022263,MAMA,Dog,Spayed Female,12,0,CHIHUAHUA SH,BLACK,981020009920875,08/18/2016,Owner Surrendered,Over the Counter,Euthanized,Illness Severe,08/18/2016,,,,,,
A022434,COBY,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,981020011145757,12/05/2015,Stray,Animal Control,Return to Owner,Microchip,12/06/2015,,,,,,
A022434,COBY,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,L16-008026,04/05/2016,Stray,Animal Control,Return to Owner,Walk-In,04/05/2016,,,,,,
A022434,COBY,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,981020011145757,09/21/2016,Stray,Animal Control,Return to Owner,Microchip,09/21/2016,,,,,,
A022905,ROC,Dog,Male,4,0,ROTTWEILER,BLACK,981020001 593732,02/14/2016,Stray,Over the Counter,Return to Owner,Phone Call,02/14/2016,,,,,,
A023000,CODY,Dog,Neutered Male,6,0,LABRADOR RETR,CHOCOLATE,981020009913869,04/26/2019,Stray,Animal Control,Return to Owner,Walk-In,04/27/2019,,,,,,
A023245,CLAIRE,Cat,Spayed Female,0,4,DOMESTIC SH,WHITE,981020011130994,08/17/2018,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,08/25/2018,,,,,,
A023387,TOBY,Dog,Neutered Male,2,6,BEAGLE,TRICOLOR,L17-011812,07/14/2017,Stray,Over the Counter,Return to Owner,Phone Call,07/14/2017,,,,,,
A023497,SNOOPY,Dog,Neutered Male,0,4,PIT BULL,WHITE,981020011137390,04/03/2019,Owner Surrendered,Over the Counter,Return to Owner,,04/03/2019,,,,,,
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,L19-008940,12/19/2018,Stray,Over the Counter,Return to Owner,Microchip,12/19/2018,,,,,,
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,981020011109153,01/22/2017,Stray,Over the Counter,Return to Owner,Walk-In,01/22/2017,,,,,,
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,L17-010288,12/23/2016,Stray,Over the Counter,Return to Owner,Walk-In,12/23/2016,,,,,,
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,981020011109153,12/16/2019,Stray,Over the Counter,Return to Owner,Microchip,12/16/2019,,,,,,
A023641,PETE,Dog,Neutered Male,10,0,PARSON RUSS TER,WHITE,981020011109153,04/10/2020,Stray,Animal Control,Euthanized,Vet Clinic,04/10/2020,,,,,,
A023646,GAMBLE,Dog,Neutered Male,2,0,PIT BULL,TRICOLOR,L17-010749,01/29/2017,Stray,Animal Control,Return to Owner,Walk-In,01/30/2017,,,,,,
A023646,GAMBLE,Dog,Neutered Male,2,0,PIT BULL,TRICOLOR,L17-010749,04/27/2017,Stray,Animal Control,Return to Owner,Walk-In,04/27/2017,,,,,,
A023646,GAMBLE,Dog,Neutered Male,2,0,PIT BULL,TRICOLOR,981020021456756,08/10/2017,Stray,Animal Control,Return to Owner,Walk-In,08/11/2017,,,,,,
A023646,GAMBLE,Dog,Neutered Male,2,0,PIT BULL,TRICOLOR,L17-010749,05/23/2017,Confiscated,Animal Cruelty,Return to Owner,Walk-In,06/15/2017,,,,,,
A023646,GAMBLE,Dog,Neutered Male,2,0,PIT BULL,TRICOLOR,981020021456756,06/15/2017,Owner Surrendered,Over the Counter,Adoption,Referral,06/22/2017,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/25/2018,Stray,Animal Control,Return to Owner,Walk-In,03/26/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/29/2018,Owner Surrendered,Over the Counter,Return to Owner,,04/02/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,03/29/2018,Stray,Over the Counter,Return to Owner,Walk-In,03/29/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,01/21/2018,Stray,Animal Control,Return to Owner,Microchip,01/22/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L19-008758,11/10/2018,Return,Over the Counter,Adoption,Walk-In,12/07/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,981020011412688,07/13/2018,Stray,Animal Control,Return to Owner,Microchip,07/13/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L18-010519,10/26/2018,Stray,Animal Control,Return to Owner,,10/26/2018,,,,,,
A023904,GLORIA,Dog,Spayed Female,1,6,PIT BULL,WHITE,L19-008648,10/26/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/09/2018,,,,,,
A024210,MEW,Cat,Neutered Male,3,0,DOMESTIC SH,BLACK,981020011896737,05/11/2017,Owner Surrendered,Over the Counter,Adoption,,07/09/2017,,,,,,
A024485,ROXY,Dog,Spayed Female,4,0,AUST SHEPHERD,BROWN,981020011123059,03/31/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/07/2018,,,,,,
A024571,GINI,Cat,Spayed Female,0,1.2,DOMESTIC MH,WHITE,981020011893144,07/29/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,08/02/2018,,,,,,
A024647,FAT FAT,Dog,Neutered Male,2,0,GERM SHEPHERD,TAN,981020011144039,02/07/2019,Stray,Animal Control,Return to Owner,Outside of Shelter,02/07/2019,,,,,,
A024850,ABBEY,Dog,Spayed Female,,,BLOODHOUND,BLACK,L18-011193,04/12/2018,Stray,Animal Control,Return to Owner,Walk-In,04/12/2018,,,,,,
A025048,BLUE,Cat,Neutered Male,2,0,DOMESTIC LH,GRAY,L19-010402,07/11/2019,Stray,Animal Control,Return to Owner,Microchip,07/12/2019,,,,,,
A025124,MARIETTA,Dog,Spayed Female,7,0,BEAGLE,TRICOLOR,981020011457475,06/06/2017,Euthanasia Request,Over the Counter,Euthanized,Condition Severe,06/06/2017,,,,,,
A025124,MARIETTA,Dog,Spayed Female,7,0,BEAGLE,TRICOLOR,981020011457475,07/28/2016,Stray,Animal Control,Return to Owner,Walk-In,07/28/2016,,,,,,
A025248,AZURA,Dog,Female,2,0,SIBERIAN HUSKY,RED,L18-011325,05/10/2018,Stray,Animal Control,Return to Owner,Website Information,05/11/2018,,,,,,
A025681,BUTTERCUP,Dog,Female,2,0,PUG,TAN,L16-010008,09/22/2016,Stray,Animal Control,Return to Owner,Walk-In,09/23/2016,,,,,,
A025897,JUNIOR,Dog,Neutered Male,5,0,CHIHUAHUA SH,BLACK,981020011875264,05/15/2019,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,05/17/2019,,,,,,
A025962,ALICE,Cat,Spayed Female,0,2,DOMESTIC SH,BLACK,981020011093699,08/08/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/03/2017,,,,,,
A025989,XENIA,Dog,Spayed Female,0,4,BULLMASTIFF,BR BRINDLE,981020011896103,08/20/2016,Owner Surrendered,Over the Counter,Euthanized,Behavior Manageable,08/24/2016,,,,,,
A026016,NICKOLAS,Dog,Neutered Male,9,0,JAPANESE CHIN,BLACK,L15-004735,04/23/2016,Stray,Animal Control,Return to Owner,Walk-In,04/28/2016,,,,,,
A026016,NICKOLAS,Dog,Neutered Male,9,0,JAPANESE CHIN,BLACK,981020017536728,04/28/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,05/12/2016,,,,,,
A026582,DASH,Dog,Neutered Male,0,5,SIBERIAN HUSKY,BLACK,981020013515166,11/24/2015,Stray,Animal Control,Adoption,Walk-In,12/08/2015,,,,,,
A026698,CORA,Dog,Spayed Female,0,3,PIT BULL,BROWN,L19-008978,12/08/2018,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/22/2018,,,,,,
A026748,KAMORA,Dog,Spayed Female,7,0,LABRADOR RETR,CHOCOLATE,L16-008745,01/29/2016,Stray,Animal Control,Return to Owner,Walk-In,02/01/2016,,,,,,
A026834,BRUTUS,Dog,Male,11,0,PARSON RUSS TER,TAN,461D416316,09/04/2016,Stray,Animal Control,Return to Owner,Walk-In,09/06/2016,,,,,,
A027006,DIAMOND,Dog,Spayed Female,0,5,MALTESE,WHITE,L16-009998,09/08/2016,Stray,Over the Counter,Adoption,Walk-In,09/21/2016,,,,,,
A027068,JJ,Dog,Male,4,0,CHIHUAHUA SH,BLACK,20607S,12/14/2015,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,12/15/2015,,,,,,
A027073,HARLEY,Dog,Spayed Female,0,4,PIT BULL,CHOCOLATE,L18-010314,12/26/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/02/2018,,,,,,
A027138,HOPE,Dog,Spayed Female,2,0,PIT BULL,GRAY,981020011424656,02/26/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/06/2016,,,,,,
A027284,TANK,Dog,Neutered Male,6,0,PIT BULL,BROWN,981020011897870,12/05/2017,Stray,Animal Control,Euthanized,Condition Minor,12/18/2017,,,,,,
A027399,MOOSHU,Cat,Neutered Male,1,0,DOMESTIC SH,ORG TABBY,981020011886609,10/09/2020,Owner Surrendered,Over the Counter,Adoption,Website Information,10/21/2020,,,,,,
A027731,SMOKEY,Cat,Neutered Male,16,0,DOMESTIC MH,GRAY,L18-011324,05/06/2018,Stray,Animal Control,Return to Owner,Phone Call,05/11/2018,,,,,,
A028357,JAX,Dog,Neutered Male,7,0,BEAGLE,TRICOLOR,982000357805951,03/11/2017,Confiscated,Animal Cruelty,Euthanized,Condition Severe,03/27/2017,,,,,,
A028374,KINGSTON,Dog,Neutered Male,2,0,YORKSHIRE TERR,TAN,L16-009109,03/03/2016,Stray,Over the Counter,Adoption,Walk-In,03/17/2016,,,,,,
A028425,THADDEUS,Dog,Neutered Male,8,0,PARSON RUSS TER,BROWN,L17-010048,12/08/2016,Stray,Over the Counter,Return to Owner,Walk-In,12/09/2016,,,,,,
A028425,THADDEUS,Dog,Neutered Male,8,0,PARSON RUSS TER,BROWN,982000163727197,03/30/2019,Owner Surrendered,Over the Counter,Transfer,Private Animal Shelter,04/02/2019,,,,,,
A028720,LIBBY,Cat,Spayed Female,5,0,DOMESTIC SH,GRAY TABBY,981020013913040,02/10/2017,Owner Surrendered,Over the Counter,Euthanized,Illness Severe,02/23/2017,,,,,,
A028750,RUGER,Dog,Male,2,0,PIT BULL,BR BRINDLE,L16-008592,01/18/2016,Stray,Animal Control,Return to Owner,Walk-In,01/19/2016,,,,,,
A029100,CHARLIE,Dog,Neutered Male,17,,LABRADOR RETR,BROWN,981020013897270,01/14/2018,Euthanasia Request,Animal Control,Euthanized,Condition Severe,01/14/2018,,,,,,
A029453,KNIGHT,Cat,Neutered Male,0,0,DOMESTIC SH,BLACK,981020013504706,07/27/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,07/31/2018,,,,,,
A029454,PHAROAH,Cat,Neutered Male,0,0,DOMESTIC SH,BLACK,981020013506621,07/27/2018,Owner Surrendered,Over the Counter,Euthanized,Time and Space,08/02/2018,,,,,,
A029466,AMBROSIA,Cat,Spayed Female,3,0,DOMESTIC LH,TORBIE,L15-007318,09/08/2016,Owner Surrendered,Over the Counter,Euthanized,Wound of Unknown Origin,09/08/2016,,,,,,
A029478,JUSTICE,Cat,Spayed Female,0,5,DOMESTIC SH,BLACK,981020013917502,10/08/2017,Stray,Animal Control,Return to Owner,Walk-In,10/13/2017,,,,,,
